Location,EndpointSerialNumber,Date,LocalTime,Status,Time_Since_Last_CDO_Activity,LocalTime (2),Time_Since_Last_CDO_Activity (2),DoorStatus_seconds
Warehouse,CD120001A689,10/31/2015,0:03:19,Close Limit,0:00:00,12:03:19 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:03:22,Close Limit,0:00:00,12:03:22 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:03:22,Close Limit,0:00:00,12:03:22 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:03:24,Close Limit,0:00:00,12:03:24 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:03:24,Close Limit,0:00:00,12:03:24 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:03:26,Close Limit,0:00:00,12:03:26 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:03:26,Close Limit,0:00:00,12:03:26 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:03:27,Close Limit,0:00:00,12:03:27 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:03:28,Close Limit,0:00:00,12:03:28 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:03:29,Close Limit,0:00:00,12:03:29 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:03:34,Close Limit,0:00:00,12:03:34 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:03:36,Close Limit,0:00:00,12:03:36 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:03:47,Close Limit,0:00:00,12:03:47 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:03:50,Close Limit,0:00:00,12:03:50 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:03:50,Close Limit,0:00:00,12:03:50 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:03:50,Close Limit,0:00:00,12:03:50 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:03:54,Close Limit,0:00:00,12:03:54 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:03:56,Close Limit,0:00:00,12:03:56 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:03:58,Close Limit,0:00:00,12:03:58 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:03:59,Close Limit,0:00:00,12:03:59 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:03:59,Close Limit,0:00:00,12:03:59 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:03:59,Close Limit,0:00:00,12:03:59 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:04:00,Close Limit,0:00:00,12:04:00 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:04:03,Close Limit,0:00:00,12:04:03 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:04:06,Close Limit,0:00:00,12:04:06 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:04:06,Close Limit,0:00:00,12:04:06 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:04:07,Close Limit,0:00:00,12:04:07 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:04:11,Close Limit,0:00:00,12:04:11 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:04:12,Close Limit,0:00:00,12:04:12 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:04:14,Close Limit,0:00:00,12:04:14 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:04:15,Close Limit,0:00:00,12:04:15 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:04:25,Close Limit,0:00:00,12:04:25 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:04:31,Close Limit,0:00:00,12:04:31 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:04:33,Close Limit,0:00:00,12:04:33 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:04:38,Close Limit,0:00:00,12:04:38 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:04:40,Close Limit,0:00:00,12:04:40 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:04:41,Close Limit,0:00:00,12:04:41 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:04:44,Close Limit,0:00:00,12:04:44 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:04:49,Close Limit,0:00:00,12:04:49 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:04:52,Close Limit,0:00:00,12:04:52 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:04:53,Close Limit,0:00:00,12:04:53 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:04:54,Close Limit,0:00:00,12:04:54 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:04:55,Close Limit,0:00:00,12:04:55 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:04:56,Close Limit,0:00:00,12:04:56 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:04:57,Close Limit,0:00:00,12:04:57 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:05:05,Close Limit,0:00:00,12:05:05 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:05:06,Close Limit,0:00:00,12:05:06 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:05:09,Close Limit,0:00:00,12:05:09 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:05:14,Close Limit,0:00:00,12:05:14 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:05:17,Close Limit,0:00:00,12:05:17 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:05:19,Close Limit,0:00:00,12:05:19 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:05:20,Close Limit,0:00:00,12:05:20 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:05:20,Close Limit,0:00:00,12:05:20 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:05:27,Close Limit,0:00:00,12:05:27 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:05:27,Close Limit,0:00:00,12:05:27 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:05:29,Close Limit,0:00:00,12:05:29 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:05:31,Close Limit,0:00:00,12:05:31 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:05:34,Close Limit,0:00:00,12:05:34 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:05:35,Close Limit,0:00:00,12:05:35 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:05:37,Close Limit,0:00:00,12:05:37 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:05:51,Close Limit,0:00:00,12:05:51 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:05:57,Close Limit,0:00:00,12:05:57 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:06:03,Close Limit,0:00:00,12:06:03 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:06:07,Close Limit,0:00:00,12:06:07 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:06:07,Close Limit,0:00:00,12:06:07 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:06:08,Close Limit,0:00:00,12:06:08 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:06:11,Close Limit,0:00:00,12:06:11 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:06:19,Close Limit,0:00:00,12:06:19 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:06:20,Close Limit,0:00:00,12:06:20 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:06:26,Close Limit,0:00:00,12:06:26 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:06:33,Close Limit,0:00:00,12:06:33 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:06:33,Close Limit,0:00:00,12:06:33 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:06:36,Close Limit,0:00:00,12:06:36 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:06:52,Close Limit,0:00:00,12:06:52 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:06:53,Close Limit,0:00:00,12:06:53 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:06:53,Close Limit,0:00:00,12:06:53 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:06:53,Close Limit,0:00:00,12:06:53 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:06:56,Close Limit,0:00:00,12:06:56 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:06:59,Close Limit,0:00:00,12:06:59 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:07:13,Close Limit,0:00:00,12:07:13 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:07:18,Close Limit,0:00:00,12:07:18 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:07:22,Close Limit,0:00:00,12:07:22 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:07:32,Close Limit,0:00:00,12:07:32 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:07:35,Close Limit,0:00:00,12:07:35 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:07:53,Close Limit,0:00:00,12:07:53 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:07:54,Close Limit,0:00:00,12:07:54 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:07:59,Close Limit,0:00:00,12:07:59 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:08:02,Close Limit,0:00:00,12:08:02 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:08:02,Close Limit,0:00:00,12:08:02 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:08:03,Close Limit,0:00:00,12:08:03 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:08:03,Close Limit,0:00:00,12:08:03 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:08:04,Close Limit,0:00:00,12:08:04 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:08:10,Close Limit,0:00:00,12:08:10 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:08:11,Close Limit,0:00:00,12:08:11 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:08:11,Close Limit,0:00:00,12:08:11 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:08:13,Close Limit,0:00:00,12:08:13 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:08:15,Close Limit,0:00:00,12:08:15 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:08:16,Close Limit,0:00:00,12:08:16 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:08:23,Close Limit,0:00:00,12:08:23 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:08:26,Close Limit,0:00:00,12:08:26 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:08:30,Close Limit,0:00:00,12:08:30 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:08:31,Close Limit,0:00:00,12:08:31 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:08:32,Close Limit,0:00:00,12:08:32 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:08:32,Close Limit,0:00:00,12:08:32 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:08:33,Close Limit,0:00:00,12:08:33 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:08:34,Close Limit,0:00:00,12:08:34 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:08:35,Close Limit,0:00:00,12:08:35 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:08:36,Close Limit,0:00:00,12:08:36 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:08:42,Close Limit,0:00:00,12:08:42 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:08:55,Close Limit,0:00:00,12:08:55 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:08:55,Close Limit,0:00:00,12:08:55 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:08:57,Close Limit,0:00:00,12:08:57 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:09:02,Close Limit,0:00:00,12:09:02 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:09:04,Close Limit,0:00:00,12:09:04 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:09:05,Close Limit,0:00:00,12:09:05 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:09:07,Close Limit,0:00:00,12:09:07 AM,12:00:00 AM,0
